raw_hand_source_stamp,raw_hand_frame,raw_hand_valid,raw_hand_x,raw_hand_y,raw_hand_z,raw_hand_qx,raw_hand_qy,raw_hand_qz,raw_hand_qw,confidence_x,confidence_y,confidence_z,confidence_roll,confidence_pitch,confidence_yaw,gesture,gesture_confidence,invalid_reason,source_index,intent_label,primary_axis,cue_stage_index,cue_sweep_subphase,cue_direction_sign,m2_candidate_state,m2_candidate_translation_energy,m2_candidate_rotation_energy,m2_candidate_translation_rotation_ratio,m2_candidate_rotation_translation_ratio,m2_candidate_window_full,m2_candidate_reference_required
5.838544607,camera_color_optical_frame,1,-0.009048580280,0.049497008149,0.993000047165,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.990808824,0.990808824,0.990808824,0.855233322,0.855233322,0.855233322,0,0.0,,145,ROTATION,RY,,,,POSITION,0.259207923132,0.083225813987,3.114513523079,0.321077430742,1,0
6.005233526,camera_color_optical_frame,1,-0.010566777351,0.048858443494,0.993000047165,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853860205,0.853860205,0.853860205,0,0.0,,150,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.215403520047,0.098149816672,2.194640065065,0.455655583764,1,0
6.171918154,camera_color_optical_frame,1,-0.008975818042,0.050160600951,0.986000046832,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853176509,0.853176509,0.853176509,0,0.0,,155,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.252777229097,0.117027350571,2.159984207649,0.462966347837,1,0
6.338618279,camera_color_optical_frame,1,-0.010470080863,0.048833883315,0.985000046785,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.981660232,0.981660232,0.981660232,0.854700353,0.854700353,0.854700353,0,0.0,,160,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.156118491603,0.159026949784,0.981710910100,1.018629812210,1,0
6.505318403,camera_color_optical_frame,1,-0.009030389720,0.050414450147,0.994000047212,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853338238,0.853338238,0.853338238,0,0.0,,165,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.239825504206,0.145368323609,1.649778289056,0.606142053532,1,0
6.672014713,camera_color_optical_frame,1,-0.008994008601,0.050262140630,0.986000046832,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854246139,0.854246139,0.854246139,0,0.0,,170,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.248667198316,0.153304194210,1.622050848632,0.616503484366,1,0
6.838706970,camera_color_optical_frame,1,-0.008875769965,0.048686522241,0.983000046690,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.969725639,0.969725639,0.969725639,0.853922291,0.853922291,0.853922291,0,0.0,,175,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.253844040445,0.103641784837,2.449244200532,0.408289218275,1,0
7.005395889,camera_color_optical_frame,1,-0.007379115042,0.050008291434,0.986000046832,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.855396880,0.855396880,0.855396880,0,0.0,,180,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.188157522305,0.123006524408,1.529654814735,0.653742262873,1,0
7.172080517,camera_color_optical_frame,1,-0.008903055804,0.049703672400,0.983000046690,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853934882,0.853934882,0.853934882,0,0.0,,185,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.119831204949,0.166807728310,0.718379215177,1.392022456765,1,0
7.338780642,camera_color_optical_frame,1,-0.009003103881,0.048932124031,0.986000046832,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853304020,0.853304020,0.853304020,0,0.0,,190,ROTATION,RY,0,OUTBOUND,-1,POSITION,0.116631963062,0.175012465444,0.666420890458,1.500553200415,1,0
